displacement_all,pressure_solid_all,pressure_IF_all,pressure_cell_all,pressure_blood_all,load_all,time_all,varepsilonb_all,varepsilon_all
-8.066273204020415e-07,176.85329979704605,176.8532997970461,-9.798743611917222e+18,84.51663371458137,195.10565162951536,14.5,0.03633211134840661,0.502204483729562
-8.973417529902412e-07,178.82327024868727,178.82327024868735,-9.79874361191722e+18,71.75408789713352,200.0,15.0,0.035756941460863084,0.5024653024949783
-9.681517937593115e-07,176.33566724272657,176.3356672427266,-9.79874361191722e+18,56.729711038276434,200.0,15.5,0.035270889584234945,0.5026671841648519
-1.0274115784918936e-06,174.29509855507843,174.2950985550785,-9.79874361191722e+18,44.40416329497161,200.0,16.0,0.034874710306586496,0.5028224566312992
-1.0781919603872425e-06,172.64909796909564,172.6490979690957,-9.798743611917222e+18,34.468923831297346,200.0,16.5,0.03455721831392062,0.5029429517969908
-1.1224443191373855e-06,171.33001583688093,171.33001583688093,-9.79874361191722e+18,26.525612450681482,200.0,17.0,0.034304723609709466,0.5030368681953857
-1.1615508054344097e-06,170.2743166101464,170.27431661014643,-9.798743611917222e+18,20.201263016284706,200.0,17.5,0.03410470677470742,0.5031098712491302
-1.1965425165021099e-06,169.42770551783633,169.4277055178364,-9.798743611917222e+18,15.178913439801669,200.0,18.0,0.03394670399956891,0.5031660884891948
-1.2282094050223395e-06,168.74526661895754,168.7452666189576,-9.798743611917222e+18,11.198429704890927,200.0,18.5,0.03382224592733211,0.5032086372880974
-1.2571662846946978e-06,168.19025399275725,168.19025399275733,-9.798743611917222e+18,8.049220240720066,200.0,19.0,0.03372455970799989,0.5032399078856223
-1.283896699762239e-06,167.73271434685128,167.73271434685134,-9.798743611917222e+18,5.5618405300087606,200.0,19.5,0.03364825581977939,0.5032617396646974
-1.3087838796518805e-06,167.3482614603764,167.34826146037645,-9.798743611917222e+18,3.600418313342782,200.0,20.0,0.03358905605651089,0.5032755465793465
-1.3321333968782012e-06,167.01705793665434,167.0170579366544,-9.798743611917222e+18,2.056269524204594,200.0,20.5,0.03354356991996497,0.5032824130600293
-1.3541901538052387e-06,166.72298693574527,166.72298693574533,-9.798743611917222e+18,0.8426416832455443,200.0,21.0,0.033509114038718556,0.5032831694570261
-1.3751513305769656e-06,166.45298175763634,166.45298175763637,-9.798743611917222e+18,-0.10957504710538994,200.0,21.5,0.03348356718975564,0.503278451800161
-1.3951763734958393e-06,166.1964825383382,166.19648253833822,-9.798743611917222e+18,-0.8553316227134975,200.0,22.0,0.033465254168258476,0.5032687490160248
-1.4143947691817916e-06,165.94499438315324,165.9449943831533,-9.798743611917222e+18,-1.4382413191416945,200.0,22.5,0.03345285290392692,0.5032544399837274
-1.4329121360322695e-06,165.69172642520743,165.6917264252075,-9.798743611917222e+18,-1.8928584497719738,200.0,23.0,0.03344532028982263,0.5032358223577165
-1.4508150215317276e-06,165.4312956771592,165.43129567715926,-9.79874361191722e+18,-2.246514332980431,200.0,23.5,0.03344183306917843,0.5032131347564067
-1.4681746950627471e-06,165.15948303848725,165.1594830384873,-9.798743611917222e+18,-2.5207929103126885,200.0,24.0,0.03344174083062559,0.503186573646677
-1.4850501555493222e-06,164.8730315406717,164.87303154067178,-9.79874361191722e+18,-2.732713886450808,200.0,24.5,0.033444528726857894,0.5031563060254928
-1.501490522093668e-06,164.5694790083254,164.56947900832543,-9.79874361191722e+18,-2.8956791354104725,200.0,25.0,0.033449787986457945,0.5031224788030849
-1.5175369378064435e-06,164.24701892502966,164.2470189250297,-9.798743611917222e+18,-3.0202280221339652,200.0,25.5,0.03345719265701256,0.5030852256235514
-1.5332240884084701e-06,163.9043845334239,163.90438453342392,-9.79874361191722e+18,-3.1146389051255294,200.0,26.0,0.03346648131732803,0.5030446717158471
