displacement_all,pressure_solid_all,pressure_IF_all,pressure_cell_all,load_all,time_all,pressurel
-1.816142108594143e-06,2.2651452789002278,363.13414354339164,-1036.9404977906338,200.0,22.0,1.0419586371666678
-1.8168853227736607e-06,2.136216149946128,363.00436831150614,-1037.0392334358935,200.0,22.5,0.9129447136011297
-1.8175374237377385e-06,2.0232260117342524,362.8906366589892,-1037.1257638573359,200.0,23.0,0.7999051213382574
-1.8181096674201623e-06,1.9242049539556412,362.79096575523903,-1037.2015973720156,200.0,23.5,0.7008619400612743
-1.8186119190458632e-06,1.8374263979438292,362.70361769591545,-1037.2680560150657,200.0,24.0,0.6140821528991506
-1.8190528248541553e-06,1.7613770696601578,362.6270692794629,-1037.3262985194167,200.0,24.5,0.5380473228098065
-1.8194399626447507e-06,1.694730670961486,362.55998550604113,-1037.3773404669284,200.0,25.0,0.471427023592954
-1.8197799737518142e-06,1.6363247952858844,362.50119634205294,-1037.4220719576776,200.0,25.5,0.41305556063936133
-1.8200786787322836e-06,1.5851406892074318,362.44967634913587,-1037.4612731019574,200.0,26.0,0.36191157408577324
-1.8203411787743986e-06,1.5402855099830413,362.40452682545873,-1037.4956276024363,200.0,26.5,0.31710016747989167
-1.820571944586157e-06,1.5009767720023215,362.3649601502406,-1037.5257346612752,200.0,27.0,0.2778372492501287
-1.8207748943072601e-06,1.4665287126607705,362.3302860602512,-1037.5521194182697,200.0,27.5,0.24343581299361267
-1.8209534617982977e-06,1.4363403412228983,362.29989962031885,-1037.57524210087,200.0,28.0,0.21329391652056784
-1.821110656494373e-06,1.4098849632639308,362.2732706790795,-1037.5955060447368,200.0,28.5,0.18688414931732586
-1.8212491158641985e-06,1.386700998758078,362.2499346268474,-1037.613264724032,200.0,29.0,0.16374440413396746
-1.82137115138745e-06,1.366383934261132,362.2294842950104,-1037.628827913527,200.0,29.5,0.14346979122162687
-1.8214787888506703e-06,1.3485792692585206,362.2115628561061,-1037.642467089618,200.0,30.0,0.1257055537381095
-1.8215738036633388e-06,1.3329763339860166,362.19585760108475,-1037.6544201641393,200.0,30.5,0.11014086035850275
-1.821657751809193e-06,1.3193028711437171,362.1820944854722,-1037.6648956333245,200.0,31.0,0.09650336647642878
-1.821731996971976e-06,1.3073202871799532,362.1700333494951,-1037.6740762141083,200.0,31.5,0.08455444883007934
-1.8217977343082697e-06,1.2968194904584656,362.1594637289378,-1037.6821220310708,200.0,32.0,0.07408503017047355
-1.8218560112816961e-06,1.2876172438158489,362.15020118376333,-1037.689173409516,200.0,32.5,0.06491192091370442
-1.8219077459216319e-06,1.2795529679620858,362.1420840805358,-1037.6953533233336,200.0,33.0,0.05687461376490509
-1.8219537428247314e-06,1.272485940026645,362.1349707725798,-1037.7007695402963,200.0,33.5,0.049832475227584994
-1.821994707178236e-06,1.266292838416631,362.12873712872516,-1037.7055165021623,200.0,34.0,0.043662284856520565
-1.8220312570495763e-06,1.2608655911944286,362.12327436756186,-1037.70967697237,200.0,34.5,0.038256079197058396
-1.822063934156586e-06,1.2561094904618353,362.11848715944785,-1037.7133234800299,200.0,35.0,0.03351926268496779
-1.8220932133061306e-06,1.2519415398723566,362.1142919631742,-1037.7165195853938,200.0,35.5,0.02936895245214434
-1.8221195106657833e-06,1.2482890064547403,362.1106155682828,-1037.7193209888744,200.0,36.0,0.025732528076255395
-1.8221431910127982e-06,1.2450881514935772,362.10739381761636,-1037.7217765029395,200.0,36.5,0.022546360898443495
-1.822164574086829e-06,1.2422831183288987,362.1045704878168,-1037.7239289038446,200.0,37.0,0.01975470067520993
-1.822183940157198e-06,1.2398249576786984,362.1020963082498,-1037.7258156780504,200.0,37.5,0.017308700083572305
-1.822201534901823e-06,1.2376707734797299,362.09992810123856,-1037.7274696763466,200.0,38.0,0.01516556001068701
-1.8222175736829142e-06,1.2357829743469109,362.09802802860906,-1037.7289196870954,200.0,38.5,0.01328778067256689
-1.8222322452940192e-06,1.2341286175930162,362.0963629314036,-1037.7301909385903,200.0,39.0,0.011642505458276425
-1.8222457152437875e-06,1.2326788343642117,362.0949037512423,-1037.731305539297,200.0,39.5,0.010200946018460423
-1.8222581286337306e-06,1.2314083258609545,362.09362502323734,-1037.732282863656,200.0,40.0,0.008937878538641345
-1.8222696126801831e-06,1.2302949218551718,362.09250443161136,-1037.7331398901788,200.0,40.5,0.007831202383282698
-1.8222802789244544e-06,1.2293191938027042,362.0915224202698,-1037.7338914977336,200.0,41.0,0.006861553387953645
-1.8222902251697292e-06,1.2284641157947953,362.0906618515279,-1037.7345507251941,200.0,41.5,0.006011965033139982
-1.8222995371785027e-06,1.227714767440465,362.0899077070402,-1037.7351289989815,200.0,42.0,0.005267571571060404
-1.8223082901601584e-06,1.2270580734877703,362.089246825715,-1037.7356363324648,200.0,42.5,0.0046153479109228394
-1.8223165500746376e-06,1.2264825756463942,362.0886676740371,-1037.7360815007064,200.0,43.0,0.004043881711240178
-1.8223243747749439e-06,1.2259782326254152,362.0881601447937,-1037.736472193596,200.0,43.5,0.003543173691370323
-1.8223318150084062e-06,1.2255362449008862,362.0877153806912,-1037.7368151500493,200.0,44.0,0.003104462668214075
-1.822338915294164e-06,1.2251489011513181,362.0873256197826,-1037.7371162756092,200.0,44.5,0.0027200722566348345
-1.8223457146921847e-06,1.224809443685238,362.0869840600118,-1037.737380745507,200.0,45.0,0.0023832765512271045
-1.8223522474772218e-06,1.2245119505098276,362.08668474050774,-1037.7376130949735,200.0,45.5,0.0020881824391885935
-1.8223585437294633e-06,1.2242512319836565,362.08642243755867,-1037.737817298389,200.0,46.0,0.0018296264850549925
-1.8223646298521793e-06,1.2240227402491057,362.0861925734504,-1037.7379968386397,200.0,46.5,0.0016030845830287863
-1.822370529025388e-06,1.2238224898669074,362.0859911365789,-1037.7381547678965,200.0,47.0,0.0014045927960358209
-1.822376261603455e-06,1.223646988262248,362.08581461144087,-1037.7382937608845,200.0,47.5,0.0012306779963838568
-1.822381845463555e-06,1.2234931747758266,362.0856599172838,-1037.7384161615564,200.0,48.0,0.0010782970944019882
-1.8223872963110735e-06,1.2233583672489423,362.0855243543409,-1037.7385240239994,200.0,48.5,0.0009447837917085085
-1.8223926279472695e-06,1.223240215217224,362.0854055567171,-1037.738619148282,200.0,49.0,0.0008278019274179162
-1.8223978525038704e-06,1.2231366588899057,362.0853014510995,-1037.7387031118674,200.0,49.5,0.0007253046009580978
-1.8224029806486785e-06,1.2230458932036932,362.0852102205749,-1037.7387772971415,200.0,50.0,0.0006354983562455519
-1.8224080217657825e-06,1.2229663363217773,362.0851302729219,-1037.7388429155396,200.0,50.5,0.0005568118005281048
-1.8224129841135043e-06,1.2228966020276852,362.08506021282426,-1037.7389010286843,200.0,51.0,0.0004878681088005114
-1.8224178749628437e-06,1.2228354755339068,362.08499881751976,-1037.738952566915,200.0,51.5,0.00042746093268649016
-1.8224227007188202e-06,1.222781892282136,362.0849450154616,-1037.7389983455214,200.0,52.0,0.0003745332922507523
-1.8224274670268377e-06,1.2227349193641546,362.08489786761766,-1037.7390390789728,200.0,52.5,0.0003281590813986007
-1.8224321788659088e-06,1.2226937392414914,362.0848565510828,-1037.739075393385,200.0,53.0,0.00028752686325218596
-1.8224368406303834e-06,1.2226576354782281,362.08482034471837,-1037.7391078374478,200.0,53.5,0.0002519256719615929
-1.8224414562015815e-06,1.2226259802375472,362.08478861656636,-1037.739136891999,200.0,54.0,0.00022073257251665717
-1.8224460290105908e-06,1.2225982233254622,362.08476081282123,-1037.7391629784165,200.0,54.5,0.00019340176088623927
-1.822450562093315e-06,1.222573882588595,362.084736448165,-1037.7391864659703,200.0,55.0,0.00016945501376365994
-1.822455058138738e-06,1.2225525354998483,362.0847150972974,-1037.739207678268,200.0,55.5,0.00014847332081186485
-1.8224595195312312e-06,1.2225338117847313,362.0846963875136,-1037.7392268989006,200.0,56.0,0.0001300895529927977
-1.8224639483876474e-06,1.222517386959559,362.0846799922003,-1037.7392443763915,200.0,56.5,0.00011398203869441282
-1.8224683465898459e-06,1.2225029766681628,362.08466562513524,-1037.7392603285343,200.0,57.0,9.986893525303994e-05
-1.8224727158132083e-06,1.2224903317197315,362.0846530354926,-1037.7392749461908,200.0,57.5,8.750329738631659e-05
-1.8224770575516459e-06,1.2224792337406614,362.08464200346555,-1037.7392883966243,200.0,58.0,7.666875624615331e-05
-1.8224813731395264e-06,1.2224694913620708,362.08463233642954,-1037.7393008264153,200.0,58.5,6.717573348557326e-05
-1.8224856637709053e-06,1.2224609368816568,362.08462386558233,-1037.7393123640215,200.0,59.0,5.885812409473102e-05
-1.8224899305163903e-06,1.2224534233357924,362.0846164429959,-1037.7393231220183,200.0,59.5,5.15703899637322e-05
-1.8224941743379365e-06,1.222446821935798,362.08460993903697,-1037.739333199062,200.0,60.0,4.518501331661504e-05
-1.8224983961018214e-06,1.222441019819265,362.08460424010286,-1037.7393426816122,200.0,60.5,3.9590265457727535e-05
-1.8225025965900307e-06,1.222435918081504,362.08459924664044,-1037.7393516454408,200.0,61.0,3.468825178893966e-05
-1.8225067765102452e-06,1.2224314300489052,362.08459487140766,-1037.739360156952,200.0,61.5,3.0393198890208727e-05
